Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
418107,0.63625,-2.1293,-1.52E-12,1.05E-12,2.79E-10
420025,0.6375,-2.1218,-1.45E-12,2.16E-12,2.81E-10
420049,0.6375,-1.9425,-1.94E-12,1.67E-12,3.18E-10
418253,0.63875,-2.0098,-2.23E-12,2.19E-12,3.06E-10
418252,0.63625,-2.0098,-1.74E-12,1.32E-12,3.07E-10
420041,0.6375,-2.0023,-1.59E-12,2.09E-12,3.08E-10
418257,0.63875,-1.9799,-2.33E-12,2.58E-12,3.12E-10
418256,0.63625,-1.9799,-1.77E-12,1.01E-12,3.10E-10
420045,0.6375,-1.9724,-1.70E-12,2.16E-12,3.12E-10
418308,0.63875,-1.8603,-2.47E-12,2.19E-12,3.26E-10
418307,0.63625,-1.8603,-2.10E-12,1.27E-12,3.26E-10
420061,0.6375,-1.8529,-2.00E-12,2.11E-12,3.26E-10
418304,0.63875,-1.8305,-2.61E-12,2.57E-12,3.28E-10
418303,0.63625,-1.8305,-2.14E-12,9.86E-13,3.26E-10
420065,0.6375,-1.823,-2.14E-12,2.22E-12,3.27E-10
420069,0.6375,-1.7931,-2.29E-12,2.06E-12,3.29E-10
418335,0.63875,-1.7707,-2.71E-12,2.32E-12,3.27E-10
418334,0.63625,-1.7707,-2.08E-12,8.04E-13,3.27E-10
418362,0.63875,-1.7109,-2.87E-12,2.53E-12,3.22E-10
418361,0.63625,-1.7109,-2.38E-12,8.40E-13,3.22E-10
420081,0.6375,-1.7034,-2.43E-12,2.19E-12,3.21E-10
418389,0.63875,-1.6213,-3.16E-12,2.45E-12,3.03E-10
418388,0.63625,-1.6213,-2.86E-12,1.15E-12,3.05E-10
418417,0.63875,-1.5615,-3.46E-12,1.99E-12,2.80E-10
418416,0.63625,-1.5615,-3.70E-12,1.00E-12,2.79E-10
420101,0.6375,-1.554,-3.87E-12,2.10E-12,2.75E-10
418413,0.63875,-1.5316,-3.67E-12,2.40E-12,2.64E-10
418412,0.63625,-1.5316,-3.79E-12,8.46E-13,2.63E-10
420105,0.6375,-1.5241,-4.04E-12,2.41E-12,2.59E-10
